dep,type,idx,name,latitude,longitude
Haute-Garonne,E,278,Quartier de semi-liberté du centre pénitentiaire de Toulouse-Seysses,43.4891313,1.3256596861606846
Ille-et-Vilaine,E,279,Quartier de semi-liberté du centre pénitentiaire de Rennes-Vezin-le-Coquet,48.10876575,-1.7368903130181876
Landes,E,280,Quartier de semi-liberté du centre pénitentiaire de Mont-de-Marsan,43.895194000000004,-0.4498092924905801
Loire-Atlantique,E,281,Quartier de semi-liberté du centre pénitentiaire de Nantes,47.26716765,-1.5059618837965592
Loiret,E,282,Centre de semi-liberté de Montargis,47.999238,2.7307061632231404
Meurthe-et-Moselle,E,283,Centre de semi-liberté de Maxéville,48.71299095,6.155636476207367
Meurthe-et-Moselle,E,284,Centre de semi-liberté de Val de Briey,49.25158175,5.9396374940491725
Nord,E,285,Quartier de semi-liberté d’Haubourdin du centre pénitentiaire de Lille-Loos-Sequedin,50.620497,2.967030033522555
Puy-de-Dôme,E,286,Quartier de semi-liberté du centre pénitentiaire de Riom,45.88982355,3.151027687988614
Bas-Rhin,E,287,Centre de semi-liberté de Souffelweyersheim,48.62902765,7.753991033942457
Rhône,E,288,Centre de semi-liberté de Lyon,45.74163605,4.843633573368145
Seine-et-Marne,E,289,Centre de semi-liberté de Melun,48.5427039,2.6589171873516033
Yvelines,E,290,Quartier de semi-liberté du centre pénitentiaire de Bois-d’Arcy,48.806750199999996,2.030337257054531
Vaucluse,E,291,Quartier de semi-liberté du centre pénitentiaire d’AvignonLe Pontet,43.9689913,4.863238544847514
Vienne,E,292,Quartier de semi-liberté du centre pénitentiaire de Poitiers-Vivonne,46.4134051,0.24128725378547078
Essonne,E,293,Centre de semi-liberté de Corbeil,48.61107395,2.4783600757588538
Seine-Saint-Denis,E,294,Centre de semi-liberté de Gagny,48.88127015,2.5335183507299255
