Name,Nicknames,Age,Born Date,Born Location,Died Date,Died Location,Conviction,Criminal Penalty,Date Apprehended
M. Jaishankar,Psycho Shankar,,,"Kanniyanpatti, Tamil Nadu, India",2018-02-27,"Bangalore, Karnataka, India","Murder, Rape",life imprisonment,2009-09-01
Ansis Kaupēns,,31.0,1895-11-02,"Platone Parish, Courland Governorate, Russian Empire",1927-05-06,"Vircava Parish, Latvia",Murder,death,1926-06-08
Vadim Ershov,"The Krasnoyrask Beast, The Krasnoyarsk Chikatilo, The Maniac with a Diary",,1973-02-15,"Rechnoy, Kirov Oblast, RSFSR",,,Murder,"death, commuted to life imprisonment",1995-10-29
Velaphi Ndlangamandla,The Saloon Killer,,,,,,Murder,137 years imprisonment,1998-09-10
Valery Kopytov,Barnaul Chikatilo,,,"Barnaul, RSFSR, Soviet Union",,,Murder Robbery,25 years imprisonment,2005-01-01
Randall Woodfield,"The I-5 Bit, The I-5 Killer",,1950-12-26,,,,"Murder, Attempted Murder, Second-Degree Robbery, Sodomy, Seual Assault",life imprisonment plus 99 years,1981-03-07
Yavuz Yapıcıoğlu,"The Screwdriver Killer, The Beast",,,"Adana, Turkey",,,,40 years in prison,2002-01-01
Paul John Knowles,The Casanova Killer,28.0,1946-04-25,"Orlando, Florida, United States",1974-12-18,"Georgia, United States",,,1974-11-17
Thierry Paulin,"The Monster of Montmartre, The Grim Reaper of Paris, The Beast of Montmartre, The Old Lady Killer",25.0,1963-11-28,"France, Martinique",1989-04-16,"Fresnes Prison, Fresnes, France",Died Before Trial,,1987-12-01
Richard Nyauza,,,,,,,"Murder , Attempted Murder, Rape , Robbery",16 life sentence(s) + 140 years imprisonment,2006-09-01
Umesh Reddy,"Rajulu, Ramesh, Venkatesh",,,"Basappa Malige, Karnataka, India",,,"Murder, Rape",life imprisonment,
Christopher Mhlengwa Zikode,Donnybrook Serial Killer,,,"Christopher Mhlengwa ZikodeDonnybrook, South Africa",,,,"140 years (, 5 life sentence(s))",1995-09-29
Kotakethana Murders,,,,,,,,,
Asande Baninzi,,,,South Africa,,,"Murder, Rape, Armed Robbery",19 life sentence(s) plus 189 years imprisonment,
Vladimir Mirgorod,"The Strangler, The Neat Maniac",,1979-11-01,"Moscow, RSFSR",,,Murder,life imprisonment,2010-01-01
Richard Cottingham,Torso Killer  Times Square Ripper,,1946-11-25,,,,,life imprisonment,1980-05-22
Huang Yong,,29.0,1974-11-18,"Henan, China",2003-12-26,"Henan, China",,death,2003-11-12
Pedro Pablo Nakada Ludeña,The Apostle of Death,,1973-02-28,"Lima, Peru",,,Murder,35 years in prison,2006-12-28
Darbara Singh,,,,"Jallupur Khera, Amritsar district, India",,"Patiala, Punjab, India",,,
Robert Hansen,"Bob the Baker, Bob Hansen, The Butcher Baker",75.0,1939-02-15,,2014-08-21,,First Degree Murder,461 years imprisonment without parole,1983-10-27
Sergei Dovzhenko,Murchik,,1972-06-30,"Mariupol, Donetsk Oblast, Ukrainian SSR",,,Murder,life imprisonment,2002-05-17
Donato Bilancia,"The Liguria Monster, Killer on the trains, Walter",69.0,1951-07-10,"Potenza, Italy",2020-12-17,"Padua, Italy",April,13 terms of life imprisonment,1998-05-06
Irina Gaidamachuk,"Raskolnikov in a skirt, Satan in a skirt, She-wolf of Krasnoufimsk, Maniac-woman from Sverdlovsk",,1972-05-22,"Mansi Autonomous Okrug, Soviet Union",,,,20 years,2010-01-01
Chen Fuzhao,,,,"Cangnan, Zhejiang, China",,"Zhejiang, China",Murder,death,2003-07-01
Randy Steven Kraft,"The Freeway Killer, Southern California Strangler, The Scorecard Killer",,1945-03-19,,,,"Capital Murder, Sodomy, Mutilation",death,1983-05-14
Juana Barraza,"Mataviejitas(Sp. Little Old Lady Killer, )La Dama del Silencio(Sp. The Lady of Silence)",,1957-12-27,"Epazoyucan, Hidalgo, Mexico",,,,759 years,2006-01-25
Michel Fourniret,Ogre of the Ardennes,79.0,1942-04-04,"Sedan, France",2021-05-10,"Paris, France",Murder,life imprisonment without the possibility of parole,2003-06-26
