Name,Nicknames,Age,Born Date,Born Location,Died Date,Died Location,Conviction,Criminal Penalty,Date Apprehended
Carl Panzram,"Jefferson Baldwin  Cooper John II  Harry Panzram  Jack Allen  Jefferson Davis Jefferson Rhodes  John King  John O,Leary  John Ape",39.0,1891-06-28,,1930-09-05,,"First Degree Murder, Countless Burglaries, Larcenies, Robberies, Assaults, And Escapes Sodomy",deathby hanging,
Steve Wright,Suffolk Strangler,,1958-04-24,"Erpingham, Norfolk, England",,,Of Murder,life imprisonment (whole life order),2006-12-19
Stephen Akinmurele,The Cul-De-Sac Killer,21.0,1978-03-16,Nigeria,1999-08-28,"Manchester Prison, Manchester, England",,,
Joe Metheny,,62.0,1955-03-02,,2017-08-05,,"Murder, Kidnapping, Rape",Life without parole,1996-12-15
Michel Peiry,The Sadist of Romont,,1959-02-28,"Romont, Switzerland",,,Murder,life imprisonment,1987-05-01
Hubert Pilčík,,59.0,1891-10-14,Hungary,1951-09-09,"Plze, Czechoslovakia",,,1951-09-01
Melvin Rees,The Sex Beast,,,,1995-10-26,,Death; Commuted To Life Imprisonment,,1960-06-24
David Maust,Crazy Dave,51.0,1954-04-05,,2006-01-20,,"Military, Involuntary Manslaughter, Larceny, Illinois, Murder, Indiana, Murder","Military, 4 years imprisonmentIllinois, 35 years imprisonmentIndianaLife without parole",2003-12-10
William Patrick Fyfe,The Killer Hyman,,1955-02-27,"Toronto, Ontario, Canada",,,Murder,life imprisonment,1999-12-22
Willem Van Eijk,,,,,2019-06-19,"Vught, Netherlands",,life imprisonment,2001-11-12
Danny Rolling,"The Gainesville Ripper, Michael Kennedy Jr.",52.0,1954-05-26,,2006-10-25,,First Degree Murder,deathby lethal injection,1990-09-07
Allan Joseph Legere,The Monster of the Miramichi,,1948-02-13,"Chatham, New Brunswick, Canada",,,"Murder, Arson, Rapist",life imprisonment without the possibility of parole for 25 years,1989-11-24
Joseph E. Duncan Iii,"Jet, Jazzi Jet",58.0,1963-02-25,,2021-03-28,,"Federal, Kidnapping A Child Resulting In Death U.S.C. § Kidnapping A Child U.S.C. § Aggravated Seual Abuse U.S.C. § Seual Eploitation Of A Child Resulting In Death U.S.C. § Being A Felon In Possession Of A Firearm U.S.C. § Possession Of A Stolen Firearm U.S.C. § Using A Firearm During A Crime Of Violence Resulting In Death U.S.C. § Transportation Of A Stolen Vehicle U.S.C. § Possession Of An Unregistered Firearm U.S.C. § Idaho, First Degree Murder First Degree Kidnapping California, First Degree Murder With Special Circumstances, Kidnapping","FederaldeathIdaho and California, life imprisonment without the possibility of parole",2005-07-02
Vincent Johnson,"The Brooklyn Strangler, The Williamsburg Strangler",,1969-01-06,,,,Murder,life imprisonment without parole,2000-08-05
Vinko Pintarić,,50.0,1941-04-03,"Zrinski Topolovac, Banovina of Croatia, Kingdom of Yugoslavia",1991-05-25,"Veliko Trgovie, SR Croatia, SFR Yugoslavia","Murder, Attempted Murder, Burglary","death, commuted to 20 years imprisonment (1974), 20 years imprisonment (1983)",1973-05-01
Edward Edwards,Wayne,,,,2011-04-07,,First Degree Intentional Homicide Aggravated Murder,life imprisonment x4 death,2009-01-01
Thomas Dillon,Ohio Outdoorsman Killer,61.0,1950-07-09,,2011-10-21,,,5 terms of 30 years to life for aggravated murder 15 years additional for gun specification,1992-11-27
Marc Dutroux,,,1956-11-06,"Ixelles, Brussels, Belgium",,,"Child Pornography, Child Seual Abuse, Kidnapping, Murder, Theft",life imprisonment,1996-08-13
William Dathan Holbert,William Adolfo Cortez,,1979-09-12,,,,Murder,47 years,2010-07-26
Jerome Dennis,,,1966-12-14,,,,Murder Aggravated Seual Assault False Imprisonment Aggravated Assault Count Armed Robbery Count Parole Violation Count,life imprisonment (minimum of 60 years),1992-04-13
Belize Ripper,Jack the Butcher,,,,,,,,
Elroy Chester,,43.0,1969-06-14,,2013-06-12,,Capital Murder,"death(September 26, 1998)",
Elisabeth Wiese,The angel-maker of St. Pauli,51.0,1853-07-01,"Bilshausen, Lower Saxony, German Confederation",1905-02-02,"Hamburg, German Empire",Murder Fraud,death,1903-01-01
San Mateo Slasher,The San Mateo Slasher,,,,,,,,2015-01-22
Honolulu Strangler,The Honolulu Rapist,,,,,,,,
Anthony Kirkland,,,1968-09-13,United States,,,"Aggravated Murder Murder Voluntary Manslaughter, Attempted Rape Aggravated Robbery Abuse Of A Corpse",death,2009-03-08
William Macdonald,"The (Sydney) Mutilator, Alan Edward Brennan, David Alan (assumed names)",,,"Liverpool, England, UK",2015-05-12,"Prince of Wales Hospital, Randwick, New South Wales, Australia",,life imprisonment,1963-05-01
Harry Powers,"John Schroeder, Joseph Gildow, Cornelius Orvin Pierson A.R. Weaver",39.0,1892-11-17,"Beerta, Groningen, Netherlands",1932-03-18,,First Degree Murder,death,
Anna Marie Hahn,"Marie Felser, Marie Fisher, Arsenic Anna, The Blonde Borgia, Angel of Mercy",,,"Bavaria, German Empire",,"Ohio State Penitentiary, Columbus, Ohio, United States",First Degree Murder,death,1937-01-01
Robert Nixon,The Brick Moron,19.0,1919-07-19,,1939-06-16,,Murder,death,1938-05-28
Waneta Hoyt,,52.0,1946-05-13,,1998-08-13,,,life imprisonment,1994-01-01
Janie Lou Gibbs,,,,,,,Murder,life imprisonment,1967-01-01
South Dade Killer,,,,,,,,,
Gerald Parker,"The Bedroom Basher, The Bludgeon Killer",,,,,,"Murder, Rape",death,1996-01-01
Phillip Carl Jablonski,,73.0,1946-01-03,,2019-12-27,,First Degree Murder With Special Circumstances,death,1991-04-28
Arthur Gary Bishop,"Lynn Jones, Roger W. Downs",35.0,1952-09-29,,1988-06-10,,"First Degree Murder Aggravated Kidnapping Seual Abuse Of A Minor, Embezzlement",death,1983-07-24
Faryion Wardrip,,,1959-03-06,,,,"Capital Murder, Second-Degree Murder","35 years in prison (1986, paroled after 11 years) deathplus three life sentence(s) without the possibility of parole (1999)",1986-05-06
Timothy Wilson Spencer,"The Southside Strangler, The Southside Slayer, The Southside Rapist, The Masked Rapist",32.0,1962-03-17,,1994-04-27,,"Capital Murder Rape, Burglary, Robbery",deathby electrocution,1988-01-20
Robert Shulman,,52.0,1954-03-28,,2006-04-13,,"First Degree Murder, Second Degree Murder","Suffolk County:death, commuted to life imprisonmentWestchester County:25 years-to-, life imprisonment",1996-04-06
Elias Abuelazam,Elias Abullazam,,1976-08-29,"Ramla, Israel",,,First Degree Murder,life imprisonment without the possibility of parole,2010-08-11
Joachim Knychała,,33.0,1952-09-08,s Republic,1985-10-28,s Republic,Murder,death,1982-05-01
Archibald Hall,"Roy Fontaine, Killer Butler, Monster Butler",,,"Glasgow, Scotland",2002-09-16,"HMP Kingston, Portsmouth, England",Murder,life imprisonment,1978-01-16
Colin Ireland,Gay Slayer,57.0,1954-03-16,"Dartford, Kent, England",2012-02-21,"HM Prison Wakefield, West Yorkshire, England",Murder,5 life sentence(s),1993-07-21
Claude Lastennet,,52.0,1971-01-19,"Brest, Finistre Department, France",2023-12-19,"Vivonne Penitentiary Center, Vivonne, Vienne Department, France",Murder,life imprisonment with 18 years security period,1994-01-12
Metod Trobec,,57.0,1948-06-06,"Planina nad Horjulom, Socialist Slovenia, Yugoslavia",2006-05-30,", Slovenska Vas, Southeast Slovenia, Slovenia",,"death, commuted to 20 years in prison (murders), 15 years imprisonment (prison assaults)",1979-07-01
Romulus Vereş,The Man with the Hammer,,,"Cluj, Romania",1993-12-13,"tei, Romania",Murder,Not guilty by reason of insanity,1974-02-14
Akira Nishiguchi,,,,"Osaka, Osaka Prefecture, Japan",1970-12-11,"ku, Fukuoka Prefecture, Japan",Murder,death,1964-01-03
Boris Gusakov,The Student Hunter,32.0,1938-01-01,"Balashikha, Moscow Oblast, RSFSR",1970-12-27,"Veliky Novgorod, Novgorod Oblast, RSFSR","Seual Assault, Murder",death,1968-05-16
Anatoly Biryukov,The Baby Hunter,40.0,1939-02-18,,1979-02-24,"Moscow, RSFSR",Murder With Aggravating Circumstances,death,1977-10-24
Süleyman Aktaş,The Nailing Killer,,,"amba, Bozkurt, Denizli, Turkey",,,,,
B1 Butcher,,,,,,,,,
Alexander Spesivtsev,"Novokuznetsk Monster, Siberian Ripper",,1970-03-01,"Kemerovo Oblast, RSFSR, Soviet Union",,,,Compulsory medical measures (1992) 10 years of imprisonment (1997) Involuntary commitment to the Kamyshin psychiatric hospital of federal service of completing punishment (1999),1996-10-01
Charlie Brandt,,,,,2004-09-13,,,,
Scott Lee Kimball,"Joe Snitch, Hannibal",,1966-09-21,,,,"Second Degree Murder Fraud, Forgery, Fraud, Felon In Possession Of A Firearm, Attempted Escape",70 years imprisonment,2006-03-14
Robert Black,,68.0,1947-04-21,"Grangemouth, Stirlingshire, Scotland",2016-01-12,"HMP Maghaberry, Northern Ireland","Murder, Kidnap, Preventing The Lawful Burial Of A Body, Seual Assault, Attempted Kidnap",life imprisonment,1990-07-14
Max Gufler,,,1918-05-01,,,,Murder,life imprisonment,1958-11-01
Ernesto Picchioni,The Monster of Nerola,,,"Ascrea, Italy",1967-09-09,"Porto Azzurro, Italy",Murder,Two life sentence(s) plus 26 years,1949-03-12
Baekuni,Babe,,,Indonesia,,,"Murder, Rape, Dismemberment",death,2010-01-09
Igor Chernat,"The Evil Spirit of Kaukjarvi, The Kamensky Maniac",,,"Odessa, UkSSR",1987-10-21,"Leningrad, RSFSR",Murder,death,1986-09-01
Ricky Lee Green,,36.0,1960-12-27,,1997-10-08,,Capital Murder,"death(Fefferman case), life imprisonment",1989-04-27
Robert Hicks Murray,"Robert Charles Mackie, Charles Richard Mackie, Charles Sterling",,,"Possibly Kingston Hill, London, England",,"Eastbourne, East Sussex, England",,,
William Dean Christensen,"The American Jack the Ripper, Richard Owen, John Schrader, Jeffrey Shrader",45.0,1945-09-24,,1990-10-31,,First Degree Murder,"Pennsylvania, life imprisonmentMaryland40 years",1983-12-04
John Cooper,The Bullseye Killer,,1944-09-03,"Milford Haven, Pembrokeshire, Wales",,,"Murders, Rape, Seual Assault, Burglaries, And Attempted Robbery",life imprisonment (whole life order),2009-01-01
Cary Stayner,"The Yosemite Park Killer, The Yosemite Killer",,1961-08-13,,,,"Federal, First Degree Murder U.S.C. § Kidnapping Resulting In Death U.S.C. § Attempted Aggravated Seual Abuse Resulting In Death U.S.C. § California, First Degree Murder With Special Circumstances Kidnapping",FederalLife without paroleCaliforniadeath,1999-07-24
Tony Costa,,29.0,1944-08-02,"Cambridge, Massachusetts",1974-05-12,"Walpole, Massachusetts",Murder,life imprisonment,1969-01-01
Carlton Gary,"Carl Michaels, Michael David, The Stocking Strangler",67.0,1950-09-24,,2018-03-15,,"Armed Robbery February & March, Escape August, Seual Assault, Murder & Property Damage August,","21 years term imprisonment (1979), death(August 27, 1986)",1984-05-03
Oakland County Child Killer,"The Babysitter Killer, The Babysitter, The Snow Murderer",,,,,,,,
Robert Rozier,"Bob Rozier, Neariah Israel, Robert Rameses",,1955-07-28,,,,,10 years imprisonment Murder × 4 (1986)Imprisoned for 25–life Check bouncing (2001),
Leonard Fraser,The Rockhampton Rapist,55.0,1951-06-27,"Ingham, Queensland, Australia",2007-01-01,"Princess Alexandra Hospital in Woolloongabba, Queensland, Australia",,5 × life imprisonment + 25 years,1999-01-01
Christopher Peterson,The Shotgun Killer,,1969-01-20,,,,"Murder Attempted Murder, Armed Robbery","death, commuted to 120 years imprisonment",
Ricardo Caputo,The Lady Killer,,,"Mendoza, Mendoza Province, Argentina",,,,,1994-03-01
Anthony Allen Shore,"The Tourniquet Killer, The Strangler",55.0,1962-06-25,,2018-01-18,,"Child Molestation, Drug Possession, Kidnapping, Capital Murder, Seual Assault","death(November 15, 2004)",2003-10-24
Daytona Beach Killer,The Daytona Beach Killer,,1982-03-12,,,,,life imprisonment,2019-09-15
Jozef Slovák,"The Genius murderer, The Bratislava strangler",,1951-04-07,"Plaveck tvrtok, Slovakia",,,Murder Specifically Mass Murder,"life imprisonment (currently serving in Ilava, Slovakia)",1991-01-01
Monster Of Udine,,,,unknown,,,,,
John Martin Crawford,The Lady Killer,58.0,1962-03-29,"Steinbach, Manitoba, Canada",2020-12-16,"Regional Psychiatric Centre, Saskatoon, Saskatchewan, Canada","First Degree Murder, Second Degree Murder Manslaughter",life imprisonment,1993-01-01
Oba Chandler,"Dave Posner, Dave Posno",65.0,1946-10-11,,2011-11-15,,First Degree Murder Armed Robbery Being A Felon In Possession Of A Firearm,"death(November 4, 1994)",1992-09-24
Dallen Bounds,,28.0,1971-08-09,,1999-12-23,,,,
Wayne Adam Ford,,,1961-12-03,,,,First Degree Murder With Special Circumstances,death(de jure),1998-11-03
Heinrich Pommerenke,The Beast of the Black Forest (Ungeheuer vom Schwarzwald),,,"Bentwisch, Nazi Germany",,"Hohenasperg, Asperg, Germany","Murder Attempted Murder, Rape",life imprisonment,1959-06-19
Jerry Brudos,"The Lust Killer, The Shoe Fetish Slayer",67.0,1939-01-31,,2006-03-28,,Life Imprisonment ×,,1969-05-29
Robert Maudsley,"Hannibal the Cannibal, The Brain Eater",,1953-06-26,"Speke, Liverpool, England",,,"Of Murder, Count Of Manslaughter",life imprisonment (whole life tariff),
Aalt Mondria,Aalt,,,"Kampen, Overijssel, Netherlands",,"Balkbrug, Netherlands",Murder,"life imprisonment, commuted to 18 years imprisonment",1997-03-07
Tsutomu Miyazaki,"The Otaku Murderer, The Rat Man",,,"Itsukaichi, Tokyo, Japan",2008-06-17,"Tokyo Detention House, Tokyo, Japan",Aggravated Murder,death,1989-07-23
Cody Legebokoff,"Highway of Tears Killer, Country Boy",,1990-01-21," James, British Columbia, Canada",,,Murder,Four life sentence(s),2010-11-27
Stephen Port,The Grindr Killer,,1975-02-22,"Sea, Essex, England",,,,life imprisonment (whole life order),2015-01-01
Howell Donaldson Iii,"Howell Emanuel , Trai, Donaldson IIISeminole Heights serial killer",,1993-01-26,,,,First-Degree Murder,4 consecutive life sentence(s) without the possibility of parole,2017-11-28
Arnold Sodeman,The School-Girl Strangler,36.0,1899-12-12,"Hawthorn, Victoria, Australia",1936-06-01,"HM Prison Pentridge, Coburg, Victoria, Australia",Murder,death,
Craig Price,,,1973-10-11,,,,,,1989-09-05
Fritz Honka,,63.0,1935-07-31,"Leipzig, Germany",1998-10-19,"Langenhorn, Hamburg, Germany",Murder,,1975-07-15
Cayetano Santos Godino,,48.0,1896-10-31,"Buenos Aires, Argentina",1944-11-15,"Ushuaia, Argentina",,,1912-12-04
Eastbound Strangler,Atlantic City Serial Killer,,,,,,,,
Caroline Grills,"Aunty Carrie, Aunt Thally, whilst imprisoned",,,"Balmain, New South Wales, Australia",,"Randwick, New South Wales, Australia",Murder,"death, commuted to life imprisonment",1953-01-01
Gordon Cummins,"The Blackout Killer, The Blackout Ripper, The Wartime Ripper",28.0,1914-02-18,"New Earswick, North Riding of Yorkshire, England",1942-06-25,"HMP Wandsworth, London, England",Murder April,death,1942-02-16
Marc Sappington,The Kansas City Vampire,,1978-02-09,,,,"First Degree Murder Aggravated Robbery, Aggravated Burglary, Kidnapping",life imprisonment,
Peter Woodcock,,71.0,1939-03-05,"Peterborough, Ontario, Canada",2010-03-05,"Penetanguishene, Ontario, Canada",,,1957-01-21
Léopold Dion,Monster of Pont-Rouge,52.0,1920-02-25,"Quebec, Canada",1972-11-17,"Archambault Institution, Quebec, Canada",Capital Murder,"death, commuted to life imprisonment",1963-05-27
John Ingvar Lövgren,"Flickmördaren, John Ingvar Andersson",71.0,1930-10-22,Sweden,2002-02-09,"Salberga prison, Sweden",Murder,Closed psychiatric treatment,1963-01-01
Lam Kor-Wan,"The Jars Murderer, The Rainy Night Butcher, The Rainy Night Killer, The Hong Kong Butcher",,1955-05-22,British Hong Kong,,,Murder,"death, commuted to life imprisonment without parole",1982-08-17
Jürgen Bartsch,The Carnival Killer (Der Kirmesmörder),29.0,1946-11-06,occupied Germany,1976-04-28,"Eickelborn, West Germany",Murder,"life imprisonment, commuted 10 years of juvenile detention",1966-01-01
Wayne Boden,"The Vampire Rapist, Strangler Bill",,,"Dundas, Ontario, Canada",2006-03-27,"Kingston General Hospital, Ontario, Canada",Non-Capital Murder,life imprisonment,1971-05-19
Ion Rîmaru,"The Vampire of Bucharest, The Wolf-Man",25.0,1946-10-12,"Corabia, Olt County, Kingdom of Romania",1971-10-23,"Jilava Prison, Ilfov County, Socialist Republic of Romania",Aggravated Murder,death,1971-05-27
David Meirhofer,Mr. Travis,25.0,1949-06-08,,1974-09-29,,,,1974-09-25
Donald Neilson,The Black Panther,75.0,1936-08-01,"Bradford, West Riding of Yorkshire, England",2011-12-18,"Norwich, Norfolk, England",,life imprisonment,1975-12-11
Thor Nis Christiansen,"The Hitchhiker Slayer, The Look-Alike Murderer",23.0,1957-12-28,Denmark,1981-03-30,,,life imprisonment,1979-07-11
Michael Lupo,Michael Lupo,42.0,1953-01-19,"Monte Donato, Bologna, Italy",1995-02-12,"Frankland Prison, Brasside, England",Of Murder Of Attempted Murder,4 life sentence(s)14 years in prison,1986-05-15
Peter Lundin,"Niels Schaftner, Bjarne Skounborg, Thomas Kristian Olesen",,1972-02-15,"Roskilde, Denmark",,,Murder,life imprisonment,2000-07-05
James Swann,,,,,,,,,
Steven Grieveson,The Sunderlstrangler,,1970-12-14,"Sunderland, County Durham, England",,,Murder,Four life sentence(s)(min. 35 years),1994-03-11
Frank Gust,The Rhein-Ruhr Ripper,,1969-05-24,"Oberhausen, West Germany",,,Murder,life imprisonment,1999-01-01
Alexander Tchayka,The Fur Coat Hunter,,1974-07-23,"Sumy, Ukraine SSR, Soviet Union",,,,death(commuted to life imprisonment),
Peter Moore,The Man In Black,,1946-09-19,"St Helens, Lancashire, England",,,,life imprisonment (whole life tariff),
Hiroaki Hidaka,,,,"Miyazaki, Japan",2006-12-25,"Hiroshima, Japan",Murder,death,1996-09-21
Nicolai Bonner,The Haifa Homeless Killer,,,Moldavian SSR,,,Murder,life imprisonment x4,2005-05-29
Raúl Osiel Marroquín,"El Sádico, El Asesino del Arcoiris",,1980-09-01,"Tampico, Tamaulipas, Mexico",,,Murder And Hate Crime,300 years in prison,2006-01-23
Richard Kuklinski,"The Iceman, Big Rich, Big Richie",70.0,1935-04-11,,2006-03-05,,Murder,Four consecutive life sentence(s),1986-12-17
Harvey Miguel Robinson,,,1974-12-06,,,,"First Degree Murder Attempted Murder, Burglary",death,1993-12-06
Albert Fish,"Frank Howard, Thomas A. Sprague, Robert Hayden, John W. Pell",65.0,1870-05-19,,1936-01-16,,"First Degree Murder, Grand Larceny",death,1934-12-13
Robert Ben Rhoades,The Truck Stop Killer,,1945-11-22,,,,First-Degree Murder,life imprisonment without the possibility of parole,1990-04-01
Peter Tobin,"Up to 40 aliases, including:Peter Wilson, James Kelly, Paul Semple, John Tobin, Peter Proban, Pat Mc, Laughlin",76.0,1946-08-27,"Johnstone, Renfrewshire, Scotland",2022-10-08,"Edinburgh, Scotland","Burglary, Forgery, Murder, Rape",life imprisonment (whole life order),
Pedro Padilla Flores,"The Rio Bravo Assassin, Many other aliases",,,s,,,Murder,life imprisonment,
Stephen Morin,"Rich Clark, Rich Clarke Robert Fred Generoso, Thomas David Hones, Ray Constantino(or Constantine)",,,,1985-03-13,,"Teas, Capital Murder Colorado, First Degree Murder, Second Degree Kidnapping",death,1981-12-12
Dorothea Puente,"Death House Llady, Teya Singoalla Neyaarda  Sharon Johansson",82.0,1929-01-09,,2011-03-27,,First-Degree Murder With Special Circumstances Second-Degree Murder,life imprisonment without parole,1988-11-11
Billy Glaze,"Jesse Coulter, Jesse Sitting Crow, Butcher Knife Billy",72.0,1943-07-13,,2015-12-22,,"Rape, Murder",52 years in prison,1987-08-31
Sidney Cooke,Hissing Sid,,1927-04-18,"Stroud, Gloucestershire, England",,,,2 × life sentence(s),
Bertha Gifford,,,,,,,,Committed to mental facility,1928-01-01
Bernhard Prigan,"The Strangler, The Highway Killer",,,Germany,,,Murder,life imprisonment,1952-11-07
Ronald Janssen,Le Prof,,1971-02-06,"Boorsem, Limburg Province, Belgium",,,"Murder, Kidnapping,, Rape",life imprisonment,
Patrick Mackay,"David Groves, The Psychopath, The Devil,s Disciple",,1952-09-25,"Middlesex, England",,,Manslaughter,"life imprisonment, 20-years minimum term",1975-03-01
Koos Hertogs,,,,"The Hague, Netherlands",2015-07-19,"Hertogenbosch, Netherlands",,life imprisonment,1980-10-03
Michael Gargiulo,"Hollywood Ripper, Chiller Killer, The Boy Next Door Killer",,1976-02-15,,,,"First Degree Murder With Special Circumstances, Attempted Murder",,2008-06-06
Chisako Kakehi,,,1946-11-28,"Yahata, FukuokaOccupied Japan",,,Aggravated Murder Attempted Murder,death,2014-01-01
Heriberto Seda,"The Brooklyn Sniper, The Copycat Zodiac Killer, Faust, The New York Zodiac Killer",,1967-07-31,,,,"Attempted Murder, Murder",232 years imprisonment,1996-06-18
Anthony Hardy,Camden Ripper,,,"Burton upon Trent, Staffordshire, England",2020-11-25,"HM Prison Frankland, County Durham, England",Murder,Whole life tariff,2003-01-02
Michael Lee Lockhart,,,,,1997-12-09,,"Teas, Capital Murder, Indiana, Murder, Florida, First Degree Murder",death,1988-03-22
Peter Dupas,,,1953-07-06,"Sydney, New South Wales, Australia",,,,3 × life imprisonment without parole,1999-04-22
Stephen Griffiths,Stephen Griffiths,,1969-12-24,"Dewsbury, West Riding of Yorkshire, England",,,Murder,life imprisonment (whole life order),2010-05-24
Levi Bellfield,"Yusuf Rahim, The Bus Stop Stalker, The Bus Stop Killer The Hammer Man",,1968-05-17,"Isleworth, London, England",,,,,2004-11-22
Hans Van Zon,,56.0,1942-04-20,"Utrecht, Utrecht, Netherlands",1998-05-11,"Delfzijl, Groningen, Netherlands",Murder,"life imprisonment, commuted to 28.5 years imprisonment",1970-12-13
Judy Buenoano,"Judias Goodyear, Judy Morris, Judias Buenoano, Judy Goodyear, Judias Morris",54.0,1943-04-04,,1998-03-30,,"First Degree Murder Attempted Second Degree Murder, Grand Theft","life imprisonment (June 6, 1984)deathby electric chair (November 26, 1985)",1984-01-11
Martin Ney,"The Masked Man, The Black Man The Hooded Man",,1970-12-12,,,,,life imprisonment,2011-04-15
Paul Denyer,"The Frankston Serial Killer, Paula",,1972-04-14,"Campbelltown, Sydney, New South Wales, Australia",,,,,1993-01-01
Bandali Debs,,,1953-07-18,"Narre Warren, Victoria, Australia",,,"Murder , Armed Robbery",4x life imprisonment plus 27 years without parole[citation needed],
Gordon Northcott,,,1906-11-09,"Bladworth, Saskatchewan, Canada",,,First Degree Murder,death,1928-09-19
Peter Kudzinowski,"Ray Rogers, Roy Lambert",26.0,1903-08-13,,1929-12-21,,First Degree Murder,death,1928-12-03
Harvey Glatman,"The Lonely Hearts Killer  The Glamour Girl Slayer, Johnny Glinn, Frank Wilson, George Williams",,,,1959-09-18,,"First Degree Murder, Kidnapping, Robbery",deathby gas chamber,1958-10-31
Martha Ann Johnson,Martha Ann Bowen,,,,,,Murder,life imprisonment,1989-07-03
Vlado Taneski,The Kičevo Monster,,,"Kievo, SFR Yugoslavia",,"Tetovo, Republic of Macedonia",,,2008-06-22
Khalil Wheeler-Weaver,,,1996-04-20,,,,"Murder Attempted Murder, Aggravated Seual Assault Aggravated Arson, Kidnapping, Desecrating Human Remains",160 years imprisonment,
William Henry Hance,Chairman of the Forces of Evil,42.0,1951-11-10,United States,1994-03-31,,"Murder December,",death(December 1978 & August 1986),1978-04-04
Charlie Chop-Off,"The Mad Barber, The Pied Piper of Manhattan",,,,,,Never Convicted,Never sentenced,
François Vérove,Le Grêlé,,,"Gravelines, Nord, France",,"Roi, Gard, France",,,
Louise Peete,"Louise M. Gould, Anna Lee",66.0,1880-09-20,,1947-04-11,,"First Degree Murder Jacob C. Denton Murder, First Degree Murder Margaret Logan Murder",life imprisonment(Denton murder) death(Logan murder),1944-12-20
Westley Allan Dodd,"The Vancouver Child Killer, Shellie , Lee, Brooks",31.0,1961-07-03,,1993-01-05,,"Aggravated First Degree Murder Attempted First Degree Murder, First Degree Kidnapping, Child Molestation",Hanging,1989-11-13
Scott Erskine,,,1962-12-22,,,,"California, First Degree Murder With Special Circumstances Kidnapping, Rape, Forced Oral Copulation With A Firearm Penetration With A Foreign Object, Possession Of A Firearm By A Convicted Felon, Florida, Second Degree Murder","CaliforniadeathFlorida, life imprisonment",1993-01-01
Donald Leroy Evans,"Don, Donny",,,,,,"Federal, Kidnapping U.S.C. § Mississippi, Capital Murder, Seual Battery Florida, First Degree Murder, Aggravated Battery","Federal, life imprisonmentMississippideathFlorida, life imprisonment",1991-08-05
John Martin,"Simon James Davis, The Garden City Butcher",36.0,1959-12-09,"Letchworth, Hertfordshire, England",1996-04-19,"Changi Prison, Singapore",Murder,death,
Richard Evonitz,,38.0,1963-07-29,,2002-06-27,,Lewd Eposure,Three years of probation,
Harvey Carignan,"The Want-Ad Killer, Harvey the Hammer",95.0,1927-05-18,,2023-03-06,,"Territory Of Alaska, First Degree Murder Overturned Assault With Intent To Commit Rape, Washington, Second Degree Burglary, Parole Violation, Minnesota, First Degree Murder, Second Degree Murder, Attempted Murder, Aggravated Sodomy Sodomy Upon A Child, Indecent Liberties, Attempted Third Degree Burglary","Territory of Alaskadeath, commuted to 15 years imprisonmentWashington, 15 years imprisonmentMinnesota, life imprisonment",1974-09-24
John Joubert,,33.0,1963-07-02,,1996-07-17,,"Nebraska, First Degree Murder Maine, Murder","NebraskadeathMaine, life imprisonment",1984-01-12
Akku Yadav,,,,India,,"Nagpur District Court, Vidarbha, Maharashtra, India",,,2004-08-07
Michael Madison,,,1977-10-15,,,,"Seually Motivated Aggravated Murder Kidnapping Rape, Attempted Rape, Abuse Of A Corpse Having A Weapon Under A Disability",death,2013-07-19
Bible John,,,,,,,,,
Andrew Dawson,,,,"Ormskirk, Lancashire, England",,,,life imprisonment with a whole-life order,
Leonarda Cianciulli,"The Soap-Maker of Correggio, (Italian: la Saponificatrice di Correggio)",76.0,1894-04-14,"Montella, Avellino, Italy",1970-10-15,"Pozzuoli, Naples, Italy",,33 years of detention,
Sharon Kinne,"Jeanette Pugliese, La Pistolera",,1939-11-30,,,,"Murder James Kinne Overturned, Charges Remain Pending Homicide Francisco Parades Ordoñez",,
Ted Kaczynski,"Unabomber, FC",81.0,1942-05-22,,2023-06-10,,"Of Transportation, Mailing, And Use Of Bombs; Three Of First-Degree Murder",Several consecutive life sentence(s) without the possibility of parole[a],1996-04-03
Leon Dorsey,"Pistol Pete, The Blockbuster Killer",32.0,1975-11-17,,2008-08-12,,"Capital Murder, Murder","60 years (Chon murder), death(Lindsey and Armstrong murders)",1994-09-14
Charles Albanese,Charles Romaine,58.0,1937-06-13,,1995-09-20,,"Murder Attempted Murder, Armed Robbery, Theft",death,1981-11-18
Jason Thornburg,,,1980-08-27,,,,Capital Murder,death,
George Chapman,Ludwig Schloski,37.0,1865-12-14,"Nagrna, Congress Poland",1903-04-07,"Wandsworth Prison, London, England",Murder,death,1903-01-01
Martha Rendell,,38.0,1871-08-10,Australia,1909-10-06,"Fremantle Prison, Fremantle, Western Australia, Australia",Wilful Murder,death,1909-07-01
George Joseph Smith,"Brides in the Bath Murderer, George Oliver Love, George Rose Smith, Charles Oliver James, Henry Williams, John Lloyd",43.0,1872-01-11,"Bethnal Green, London, England",1915-08-13,"Maidstone, Kent, England",,death,1915-03-23
Daisy De Melker,,46.0,1886-06-01,"Seven Fountains, Cape Colony",1932-12-30,"Pretoria Central Prison, Pretoria, Union of South Africa",Murder,death,1932-04-01
Eddie Leonski,"The Brownout Strangler, The Singing Strangler",24.0,1917-12-12,"Kenvil, New Jersey, United States",1942-11-09,"Pentridge Prison, Coburg, Victoria, Australia",Premeditated Murder,death,1942-05-22
William Heirens,The Lipstick Killer,83.0,1928-11-15,,2012-03-05,,Murder,life imprisonment,1946-06-26
