Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population)
Intentional Bodily Harm,Samara Oblast,2008,783,24.3
Intentional Bodily Harm,Saratov Oblast,2008,614,24.0
Intentional Bodily Harm,Ulyanovsk Oblast,2008,405,30.8
Intentional Bodily Harm,Kurgan Oblast,2008,353,37.8
Intentional Bodily Harm,Sverdlovsk Oblast,2008,1771,41.0
Intentional Bodily Harm,Tyumen Oblast,2008,706,53.7
Intentional Bodily Harm,Khanty–Mansi Autonomous Okrug – Yugra,2008,607,40.7
Intentional Bodily Harm,Yamalo-Nenets Autonomous Okrug,2008,207,39.5
Intentional Bodily Harm,Chelyabinsk Oblast,2008,1496,42.9
Intentional Bodily Harm,Altai Republic,2008,115,56.6
Intentional Bodily Harm,Republic of Buryatia,2008,692,71.7
Intentional Bodily Harm,Tuva Republic,2008,625,205.7
Intentional Bodily Harm,Republic of Khakassia,2008,254,47.8
Intentional Bodily Harm,Altai Krai,2008,926,37.7
Intentional Bodily Harm,Zabaykalsky Krai,2008,1017,91.5
Intentional Bodily Harm,Krasnoyarsk Krai,2008,1315,46.4
Intentional Bodily Harm,Irkutsk Oblast,2008,2388,97.3
Intentional Bodily Harm,Kemerovo Oblast,2008,1863,67.0
Intentional Bodily Harm,Novosibirsk Oblast,2008,1024,38.7
Intentional Bodily Harm,Omsk Oblast,2008,710,35.6
Intentional Bodily Harm,Tomsk Oblast,2008,437,42.6
Intentional Bodily Harm,Sakha (Yakutia) Republic,2008,727,75.8
Intentional Bodily Harm,Kamchatka Krai,2008,113,34.5
Intentional Bodily Harm,Primorsky Krai,2008,979,49.5
Intentional Bodily Harm,Khabarovsk Krai,2008,832,61.4
Intentional Bodily Harm,Amur Oblast,2008,495,58.6
Intentional Bodily Harm,Magadan Oblast,2008,90,54.9
Intentional Bodily Harm,Sakhalin Oblast,2008,277,54.4
Intentional Bodily Harm,Jewish Autonomous Oblast,2008,106,59.3
Intentional Bodily Harm,Chukotka Autonomous Okrug,2008,49,92.8
Rape,Russian Federation,2008,6208,4.3
Rape,Belgorod Oblast,2008,33,2.2
Rape,Bryansk Oblast,2008,43,3.3
Rape,Vladimir Oblast,2008,28,1.9
Rape,Voronezh Oblast,2008,39,1.7
Rape,Ivanovo Oblast,2008,52,4.8
Rape,Kaluga Oblast,2008,76,7.5
Rape,Kostroma Oblast,2008,38,5.6
Rape,Kursk Oblast,2008,46,4.0
Rape,Lipetsk Oblast,2008,37,3.1
Rape,Moscow Oblast,2008,290,4.2
Rape,Oryol Oblast,2008,18,2.2
Rape,Ryazan Oblast,2008,37,3.2
Rape,Smolensk Oblast,2008,41,4.1
Rape,Tambov Oblast,2008,39,3.5
Rape,Tver Oblast,2008,71,5.1
Rape,Tula Oblast,2008,38,2.4
Rape,Yaroslavl Oblast,2008,44,3.4
Rape,Moscow,2008,318,2.8
Rape,Republic of Karelia,2008,14,2.1
Rape,Komi Republic,2008,56,6.0
Rape,Arkhangelsk Oblast,2008,87,7.2
Rape,Nenets Autonomous Okrug,2008,1,2.4
Rape,Vologda Oblast,2008,43,3.5
Rape,Kaliningrad Oblast,2008,13,1.4
Rape,Leningrad Oblast,2008,58,3.4
Rape,Murmansk Oblast,2008,10,1.2
Rape,Novgorod Oblast,2008,30,4.6
Rape,Pskov Oblast,2008,28,4.0
Rape,Saint Petersburg,2008,119,2.5
Rape,Republic of Dagestan,2008,68,2.4
Rape,Republic of Ingushetia,2008,4,1.0
Rape,Kabardino-Balkar Republic,2008,34,4.0
Rape,Karachay-Cherkess Republic,2008,22,4.7
Rape,Republic of North Ossetia-Alania,2008,17,2.4
Rape,Chechen Republic,2008,11,0.9
Rape,Stavropol Krai,2008,68,2.5
Rape,Republic of Adygea,2008,14,3.2
Rape,Republic of Kalmykia,2008,9,3.1
Rape,Republic of Crimea,2008,NaN,NaN
Rape,Krasnodar Krai,2008,174,3.4
Rape,Astrakhan Oblast,2008,90,8.9
Rape,Volgograd Oblast,2008,153,5.8
Rape,Rostov Oblast,2008,163,3.8
Rape,Sevastopol,2008,NaN,NaN
Rape,Republic of Bashkortostan,2008,182,4.5
Rape,Mari El Republic,2008,51,7.2
Rape,Republic of Mordovia,2008,38,4.5
Rape,Republic of Tatarstan,2008,145,3.8
Rape,Udmurt Republic,2008,126,8.2
Rape,Chuvash Republic,2008,50,4.0
Rape,Perm Krai,2008,222,8.3
Rape,Kirov Oblast,2008,58,4.2
Rape,Nizhny Novgorod Oblast,2008,139,4.1
Rape,Orenburg Oblast,2008,98,4.8
Rape,Penza Oblast,2008,55,3.9
Rape,Samara Oblast,2008,101,3.1
Rape,Saratov Oblast,2008,57,2.2
Rape,Ulyanovsk Oblast,2008,51,3.9
Rape,Kurgan Oblast,2008,57,6.1
Rape,Sverdlovsk Oblast,2008,270,6.2
Rape,Tyumen Oblast,2008,97,7.4
Rape,Khanty–Mansi Autonomous Okrug – Yugra,2008,37,2.5
Rape,Yamalo-Nenets Autonomous Okrug,2008,30,5.7
Rape,Chelyabinsk Oblast,2008,195,5.6
Rape,Altai Republic,2008,25,12.3
Rape,Republic of Buryatia,2008,57,5.9
Rape,Tuva Republic,2008,160,52.7
Rape,Republic of Khakassia,2008,18,3.4
Rape,Altai Krai,2008,90,3.7
Rape,Zabaykalsky Krai,2008,85,7.6
Rape,Krasnoyarsk Krai,2008,157,5.5
Rape,Irkutsk Oblast,2008,163,6.6
Rape,Kemerovo Oblast,2008,103,3.7
Rape,Novosibirsk Oblast,2008,135,5.1
Rape,Omsk Oblast,2008,79,4.0
Rape,Tomsk Oblast,2008,25,2.4
Rape,Sakha (Yakutia) Republic,2008,74,7.7
Rape,Kamchatka Krai,2008,14,4.3
Rape,Primorsky Krai,2008,80,4.0
Rape,Khabarovsk Krai,2008,88,6.5
Rape,Amur Oblast,2008,39,4.6
Rape,Magadan Oblast,2008,10,6.1
Rape,Sakhalin Oblast,2008,36,7.1
Rape,Jewish Autonomous Oblast,2008,13,7.3
Rape,Chukotka Autonomous Okrug,2008,7,13.3
Theft,Russian Federation,2008,1326342,929.2
Theft,Belgorod Oblast,2008,6864,451.5
Theft,Bryansk Oblast,2008,10997,843.8
Theft,Vladimir Oblast,2008,14346,978.1
Theft,Voronezh Oblast,2008,16236,692.5
Theft,Ivanovo Oblast,2008,9757,902.5
Theft,Kaluga Oblast,2008,8531,838.2
Theft,Kostroma Oblast,2008,4276,625.7
Theft,Kursk Oblast,2008,11169,969.7
Theft,Lipetsk Oblast,2008,9071,764.4
Theft,Moscow Oblast,2008,48732,706.7
Theft,Oryol Oblast,2008,7662,951.6
Theft,Ryazan Oblast,2008,4877,415.3
Theft,Smolensk Oblast,2008,9297,921.4
Theft,Tambov Oblast,2008,6485,580.9
Theft,Tver Oblast,2008,17701,1276.3
Theft,Tula Oblast,2008,6831,430.2
Theft,Yaroslavl Oblast,2008,12355,955.9
Theft,Moscow,2008,92866,830.1
Theft,Republic of Karelia,2008,6236,945.7
Theft,Komi Republic,2008,9708,1038.4
Theft,Arkhangelsk Oblast,2008,12486,1027.4
Theft,Nenets Autonomous Okrug,2008,330,787.6
Theft,Vologda Oblast,2008,12169,997.6
Theft,Kaliningrad Oblast,2008,8497,908.5
Theft,Leningrad Oblast,2008,15180,896.9
Theft,Murmansk Oblast,2008,8206,1006.7
