Country / Territory,Region,Region Name,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Zambia,SSA,Sub Saharn Africa,33,116,9,1.495884,33,117,9,1.634307,33,117,9,0.9566052,34,113,9,1.973667,35,105,9,1.93,37,96,9,2.46,38,9,2.91,38,8,2.55,38,8,2.27,38,8,2.1,37,8,3.1
Dominican Republic,AME,"North, Central, and South America",32,123,7,1.305089,30,128,7,1.157533,28,137,7,1.913811,28,137,7,2.699341,30,129,7,2.57,29,135,7,2.56,31,6,1.89,33,6,2.63,32,6,3.3,29,6,3.5,32,6,2.7
Kenya,SSA,Sub Saharn Africa,32,123,9,1.500969,30,128,9,1.317507,31,124,9,1.492908,28,137,9,2.167752,27,144,9,1.82,28,143,9,1.94,26,9,1.72,25,8,3.02,25,8,2.98,27,8,2.7,27,8,2.2
Niger,SSA,Sub Saharn Africa,32,123,7,1.499769,31,124,7,1.353731,32,123,7,1.196653,32,120,7,1.715677,34,114,6,2.98,33,112,6,3.27,35,5,3.25,34,5,4.16,35,5,3.99,34,5,3.7,33,5,3.1
Bolivia,AME,"North, Central, and South America",31,126,6,2.41325,30,128,7,1.684876,31,124,7,2.048029,31,123,7,2.996561,29,132,7,3.6,33,112,6,2.98,33,8,2.85,34,7,3.58,35,7,2.98,34,7,3.7,34,7,3.7
Laos,AP,Asia Pacific,31,126,5,3.703161,30,128,5,3.212965,29,134,5,3.953034,29,130,5,4.995874,29,132,5,5.7,29,135,5,5.89,30,4,6.19,25,4,5.31,25,4,3.8,26,4,5,21,3,1.3
Mexico,AME,"North, Central, and South America",31,126,9,1.623537,31,124,9,1.429597,31,124,9,1.381333,29,130,9,1.725735,28,138,9,1.83,29,135,9,1.69,30,8,1.56,31,8,3.02,35,8,1.66,34,9,1.8,34,9,1.7
Uzbekistan,ECA,Europe and Central Asia,31,126,8,1.71464,28,140,7,1.509101,26,146,7,1.520405,25,153,7,2.01073,23,158,7,1.93,22,157,7,2.11,21,7,2.35,19,6,2.71,18,6,2.54,17,6,2,17,6,2
Djibouti,SSA,Sub Saharn Africa,30,130,5,1.737748,30,128,5,1.680318,27,142,5,1.529401,30,126,5,4.276603,31,124,4,5.38,31,122,4,5.32,30,3,8.23,34,3,9.07,34,3,9.1,36,3,8.6,36,3,8.6
Eswatini,SSA,Sub Saharn Africa,30,130,3,5.899071,32,122,3,7.1218,33,117,4,4.93164,34,113,4,6.075864,38,89,3,4.48,39,85,3,5.81,,,,,,,43,3,2.98,39,4,1.8,37,4,2.1
Mauritania,SSA,Sub Saharn Africa,30,130,6,1.680436,28,140,7,1.850721,29,134,6,1.603382,28,137,6,2.729102,27,144,6,2.95,28,143,6,2.41,27,5,3.62,31,5,5.07,30,5,4.23,30,5,4.1,31,5,3.5
Egypt,MENA,Middle East and North Africa,30,130,6,1.780133,33,117,7,4.088,33,117,7,3.681736,35,106,7,4.863433,35,105,7,4.59,32,117,7,4.04,34,6,2.72,36,6,2.47,37,6,2.91,32,7,3.1,32,7,3.1
Papua New Guinea,AP,Asia Pacific,30,130,6,2.341149,31,124,6,2.261734,27,142,6,1.61913,28,137,6,2.379799,28,138,6,2.47,29,135,6,2.55,28,5,3.01,25,5,4.22,25,5,4.16,25,5,4.2,25,5,4.2
